block,longit,latit,geom,birds,nat_cover,built_cover,observer_intensity,ave_precip,roadlength,p_roadlength,g_roadlength,surr_pop,abs_pop,ave_temper
1629,46.0,413.0,0103000020407100000100000005000000000000000076E6400000000020351941000000000076E64000000000C04419410000000000F3E64000000000C04419410000000000F3E6400000000020351941000000000076E6400000000020351941,146,483299.435118761,89881.8871805842,915.0,1.61768493708738,5903.40754358235,820.573438505224,2118.46114302026,18910.0,230.0,13.6063188798108
1633,46.0,417.0,0103000020407100000100000005000000000000000076E64000000000A0731941000000000076E64000000000408319410000000000F3E64000000000408319410000000000F3E64000000000A0731941000000000076E64000000000A0731941,94,104335.665136536,432.225000047266,504.0,1.61986961151931,6442.49630657326,1111.46094630595,939.243381463936,9870.0,10.0,13.6075090750311
1705,47.0,417.0,01030000204071000001000000050000000000000000F3E64000000000A07319410000000000F3E6400000000040831941000000000070E7400000000040831941000000000070E74000000000A07319410000000000F3E64000000000A0731941,104,74042.0241306749,6212.68920960921,549.0,1.63110751271742,6747.71286699035,871.500052554413,1813.36785939679,10580.0,55.0,13.6126665733137
2703,60.0,373.0,010300002040710000010000000500000000000000004CED400000000020C4164100000000004CED4000000000C0D316410000000000C9ED4000000000C0D316410000000000C9ED400000000020C4164100000000004CED400000000020C41641,99,215100.27217614,22415.2977214819,89.0,1.58607389384788,3315.69131927032,1026.24292917461,160.251378856454,17630.0,90.0,14.0947682349094
2707,60.0,377.0,010300002040710000010000000500000000000000004CED4000000000A002174100000000004CED4000000000401217410000000000C9ED4000000000401217410000000000C9ED4000000000A002174100000000004CED4000000000A0021741,40,36222.3514370825,43716.7630121644,57.0,1.58791661723543,5926.1412910856,33.8344710055561,3313.55870480723,15440.0,100.0,14.0328102179942
2754,60.0,424.0,010300002040710000010000000500000000000000004CED400000000000E1194100000000004CED4000000000A0F019410000000000C9ED4000000000A0F019410000000000C9ED400000000000E1194100000000004CED400000000000E11941,80,165048.908639721,148069.123456992,231.0,1.56436407454929,8865.84971655371,4211.20578029851,4214.61086057084,21455.0,1000.0,13.6217317940122
2810,61.0,391.0,01030000204071000001000000050000000000000000C9ED400000000060DD17410000000000C9ED400000000000ED1741000000000046EE400000000000ED1741000000000046EE400000000060DD17410000000000C9ED400000000060DD1741,74,590763.158163266,56249.2506980138,88.0,1.85024229425793,3849.0501014158,488.761354011238,2094.42227735458,32870.0,290.0,13.8966784940734
2898,62.0,389.0,0103000020407100000100000005000000000000000046EE400000000020BE1741000000000046EE4000000000C0CD17410000000000C3EE4000000000C0CD17410000000000C3EE400000000020BE1741000000000046EE400000000020BE1741,44,351476.736723357,91774.4069675905,67.0,1.80944891309993,5941.43042207109,912.220761735081,4959.55058406552,37250.0,490.0,13.9312551498043
3217,65.0,429.0,01030000204071000001000000050000000000000000BDEF4000000000202F1A410000000000BDEF4000000000C03E1A4100000000001DF04000000000C03E1A4100000000001DF04000000000202F1A410000000000BDEF4000000000202F1A41,76,92694.5250511028,21118.506018901,330.0,1.61030509270398,8524.50827079632,1358.59455920624,279.244186930461,72185.0,35.0,13.5924845742093
3284,66.0,401.0,010300002040710000010000000500000000000000001DF04000000000A079184100000000001DF040000000004089184100000000805BF040000000004089184100000000805BF04000000000A079184100000000001DF04000000000A0791841,30,13485.9516159353,84712.5477406215,18.0,1.76271922825656,6051.68451056877,453.165480286286,4005.59772115769,28965.0,620.0,13.8770153589999
3320,66.0,437.0,010300002040710000010000000500000000000000001DF0400000000020AC1A4100000000001DF04000000000C0BB1A4100000000805BF04000000000C0BB1A4100000000805BF0400000000020AC1A4100000000001DF0400000000020AC1A41,90,401873.18338449,239503.572324869,190.0,1.77954578309099,8221.99460344132,678.314193328207,6123.81989942903,41555.0,730.0,13.5521440452276
3406,67.0,427.0,010300002040710000010000000500000000000000805BF04000000000E00F1A4100000000805BF04000000000801F1A4100000000009AF04000000000801F1A4100000000009AF04000000000E00F1A4100000000805BF04000000000E00F1A41,139,243485.063440129,187743.713418558,103.0,1.59063124014528,8389.29936025397,1507.96563420826,6574.17639319251,64160.0,300.0,13.6089780239687
3621,69.0,446.0,01030000204071000001000000050000000000000080D8F04000000000C0381B410000000080D8F0400000000060481B41000000000017F1400000000060481B41000000000017F14000000000C0381B410000000080D8F04000000000C0381B41,93,65143.7067983155,9827.89918429063,107.0,1.55901941216618,6639.60647026542,1104.30625233317,5535.30021793224,138410.0,355.0,13.5130671516719
3721,70.0,447.0,0103000020407100000100000005000000000000000017F1400000000060481B41000000000017F1400000000000581B41000000008055F1400000000000581B41000000008055F1400000000060481B41000000000017F1400000000060481B41,34,1807.18628790888,163325.823559616,58.0,1.56351760247959,8170.1274463833,1388.6840706226,6781.44337576069,186610.0,1625.0,13.5063343196284
3722,70.0,448.0,0103000020407100000100000005000000000000000017F1400000000000581B41000000000017F14000000000A0671B41000000008055F14000000000A0671B41000000008055F1400000000000581B41000000000017F1400000000000581B41,102,218193.037599673,15405.281627148,123.0,1.57062525343335,7653.6896354984,1690.4570673084,5963.23256819,189750.0,335.0,13.5002367548356
3818,71.0,444.0,0103000020407100000100000005000000000000008055F1400000000080191B41000000008055F1400000000020291B41000000000094F1400000000020291B41000000000094F1400000000080191B41000000008055F1400000000080191B41,38,43830.8280369288,18255.7332735078,70.0,1.56128087983523,6311.08045807284,1287.71964659977,5023.36081147307,195315.0,315.0,13.5223380683906
4928,82.0,380.0,0103000020407100000100000005000000000000000005F4400000000080311741000000000005F4400000000020411741000000008043F4400000000020411741000000008043F4400000000080311741000000000005F4400000000080311741,67,847726.829188422,39588.6128748114,51.0,1.73098289536425,3799.96419453616,1172.6172927645,2627.34690177165,22205.0,75.0,14.190840916245
4930,82.0,382.0,0103000020407100000100000005000000000000000005F44000000000C0501741000000000005F4400000000060601741000000008043F4400000000060601741000000008043F44000000000C0501741000000000005F44000000000C0501741,56,74358.8181396743,118112.265597927,44.0,1.7207569147136,7062.55587376316,1178.68539260118,5883.87048116198,51700.0,75.0,14.1927359912606
5006,82.0,458.0,0103000020407100000100000005000000000000000005F4400000000040F41B41000000000005F44000000000E0031C41000000008043F44000000000E0031C41000000008043F4400000000040F41B41000000000005F4400000000040F41B41,86,366286.190232388,183716.995667837,142.0,1.76006250295438,8495.62070216625,1219.06685340583,7276.55384876042,598590.0,565.0,13.2849232587366
5045,83.0,377.0,0103000020407100000100000005000000000000008043F44000000000A0021741000000008043F4400000000040121741000000000082F4400000000040121741000000000082F44000000000A0021741000000008043F44000000000A0021741,24,430307.548121969,280456.284766325,13.0,1.74354218150288,1167.36064608166,42.8458694870402,1124.51477659462,19110.0,0.0,14.1840313309958
5046,83.0,378.0,0103000020407100000100000005000000000000008043F4400000000040121741000000008043F44000000000E0211741000000000082F44000000000E0211741000000000082F4400000000040121741000000008043F4400000000040121741,42,523234.92834372,10734.31893911,29.0,1.74030244804775,4532.60290270754,1235.54897215961,3297.05393054793,19160.0,85.0,14.1872471431013
5126,83.0,458.0,0103000020407100000100000005000000000000008043F4400000000040F41B41000000008043F44000000000E0031C41000000000082F44000000000E0031C41000000000082F4400000000040F41B41000000008043F4400000000040F41B41,44,65587.0688407249,94818.0010936664,96.0,1.77843516743973,6100.79962354741,2217.1532999088,3793.95961945882,607555.0,315.0,13.2749489763165
5167,84.0,377.0,0103000020407100000100000005000000000000000082F44000000000A0021741000000000082F44000000000401217410000000080C0F44000000000401217410000000080C0F44000000000A0021741000000000082F44000000000A0021741,44,646004.855795997,237032.673136406,24.0,1.74747881935446,1908.62369451849,1637.43543291363,271.188261604855,19075.0,10.0,14.1845980945213
5289,85.0,375.0,01030000204071000001000000050000000000000080C0F4400000000060E316410000000080C0F4400000000000F316410000000000FFF4400000000000F316410000000000FFF4400000000060E316410000000080C0F4400000000060E31641,56,239621.168022397,339988.03908871,22.0,1.76486469627209,10262.489658447,234.727121638702,10027.7625368083,16165.0,1095.0,14.17730912418
5489,86.0,463.0,01030000204071000001000000050000000000000000FFF4400000000060421C410000000000FFF4400000000000521C4100000000803DF5400000000000521C4100000000803DF5400000000060421C410000000000FFF4400000000060421C41,127,198886.751351747,248851.199380702,270.0,1.8597638288626,6092.5908926339,1053.74445599196,5038.84643664194,303540.0,185.0,13.1950184877406
5490,86.0,464.0,01030000204071000001000000050000000000000000FFF4400000000000521C410000000000FFF44000000000A0611C4100000000803DF54000000000A0611C4100000000803DF5400000000000521C410000000000FFF4400000000000521C41,184,825939.808628086,150981.959074216,737.0,1.84017898903861,2407.44740628933,115.092493971008,2292.35491231832,268220.0,125.0,13.1897554763114
5608,87.0,465.0,010300002040710000010000000500000000000000803DF54000000000A0611C4100000000803DF5400000000040711C4100000000007CF5400000000040711C4100000000007CF54000000000A0611C4100000000803DF54000000000A0611C41,164,594970.058924969,9395.89141114103,538.0,1.85375937761852,1583.88260281265,1159.84354543041,424.039057382244,294120.0,30.0,13.1822707417591
5609,87.0,466.0,010300002040710000010000000500000000000000803DF5400000000040711C4100000000803DF54000000000E0801C4100000000007CF54000000000E0801C4100000000007CF5400000000040711C4100000000803DF5400000000040711C41,151,960406.672837672,27493.2857615866,281.0,1.73951237407919,388.190764325318,261.280310884896,126.910453440423,294830.0,0.0,13.180923861364
5727,88.0,466.0,010300002040710000010000000500000000000000007CF5400000000040711C4100000000007CF54000000000E0801C410000000080BAF54000000000E0801C410000000080BAF5400000000040711C4100000000007CF5400000000040711C41,134,184993.062550867,114816.879177415,222.0,1.78215814634993,3781.98421749175,2689.39493254306,1092.58928494869,326285.0,390.0,13.1785550265681
5728,88.0,467.0,010300002040710000010000000500000000000000007CF54000000000E0801C4100000000007CF5400000000080901C410000000080BAF5400000000080901C410000000080BAF54000000000E0801C4100000000007CF54000000000E0801C41,165,111635.107033252,534920.838249165,485.0,1.66733560587655,18054.2645708964,2225.68844756349,15828.5761233329,319420.0,4655.0,13.178931881545
5927,90.0,426.0,01030000204071000001000000050000000000000000F9F5400000000040001A410000000000F9F54000000000E00F1A41000000008037F64000000000E00F1A41000000008037F6400000000040001A410000000000F9F5400000000040001A41,63,8179.49365932547,177.051001307415,46.0,1.95964161413645,6398.05895155379,2969.92587734938,1208.19749645544,280710.0,110.0,13.6849925111598
6612,95.0,478.0,0103000020407100000100000005000000000000008031F74000000000C02C1D41000000008031F74000000000603C1D41000000000070F74000000000603C1D41000000000070F74000000000C02C1D41000000008031F74000000000C02C1D41,118,260065.982677502,23472.8255509576,186.0,1.70870795269697,3328.3584206864,277.629970208085,2940.5368788915,152590.0,90.0,13.1897682665708
6754,96.0,478.0,0103000020407100000100000005000000000000000070F74000000000C02C1D41000000000070F74000000000603C1D410000000080AEF74000000000603C1D410000000080AEF74000000000C02C1D41000000000070F74000000000C02C1D41,68,97347.8408239311,27353.7148878668,90.0,1.73721582543372,6971.26465633344,2540.56900497534,3636.08279363454,177110.0,190.0,13.1953705652972
6846,97.0,420.0,01030000204071000001000000050000000000000080AEF7400000000080A219410000000080AEF7400000000020B219410000000000EDF7400000000020B219410000000000EDF7400000000080A219410000000080AEF7400000000080A21941,40,1844.18172112915,1714.09925972051,98.0,1.87001885905944,3977.35604795477,1314.99768842733,516.073567552289,119115.0,70.0,13.7775742360159
6905,97.0,479.0,01030000204071000001000000050000000000000080AEF74000000000603C1D410000000080AEF74000000000004C1D410000000000EDF74000000000004C1D410000000000EDF74000000000603C1D410000000080AEF74000000000603C1D41,42,16953.64411142,248802.717341688,72.0,1.70802999746816,9171.4275892696,1593.06874624236,7578.35884302724,199115.0,1850.0,13.1941867637865
6906,97.0,480.0,01030000204071000001000000050000000000000080AEF74000000000004C1D410000000080AEF74000000000A05B1D410000000000EDF74000000000A05B1D410000000000EDF74000000000004C1D410000000080AEF74000000000004C1D41,91,603781.943622806,5185.26481736694,145.0,1.65923131611301,1767.05651612086,1525.52069609462,241.535820026235,218920.0,25.0,13.1847925379008
7224,99.0,481.0,010300002040710000010000000500000000000000802BF84000000000A05B1D4100000000802BF84000000000406B1D4100000000006AF84000000000406B1D4100000000006AF84000000000A05B1D4100000000802BF84000000000A05B1D41,64,509.699372782755,273443.114753128,90.0,1.6775957047116,6689.25193685685,493.491771809395,6195.76016504746,306680.0,1720.0,13.1876198574489
7225,99.0,482.0,010300002040710000010000000500000000000000802BF84000000000406B1D4100000000802BF84000000000E07A1D4100000000006AF84000000000E07A1D4100000000006AF84000000000406B1D4100000000802BF84000000000406B1D41,94,316585.894345509,6324.35623350443,262.0,1.64986139947538,2765.44067960515,1087.90272765315,1677.537951952,312195.0,105.0,13.1741148494699
7393,100.0,483.0,010300002040710000010000000500000000000000006AF84000000000E07A1D4100000000006AF84000000000808A1D410000000080A8F84000000000808A1D410000000080A8F84000000000E07A1D4100000000006AF84000000000E07A1D41,92,639961.869606835,3775.99318003102,144.0,1.66300552045072,3246.7149225756,1013.77456236261,2232.94036021299,316605.0,45.0,13.1672540605197
7394,100.0,484.0,010300002040710000010000000500000000000000006AF84000000000808A1D4100000000006AF84000000000209A1D410000000080A8F84000000000209A1D410000000080A8F84000000000808A1D4100000000006AF84000000000808A1D41,94,663097.565417611,55518.4930616917,544.0,1.65998683784425,3185.08158814855,1091.59073800311,2093.49085014544,320020.0,100.0,13.1497713041528
7395,100.0,485.0,010300002040710000010000000500000000000000006AF84000000000209A1D4100000000006AF84000000000C0A91D410000000080A8F84000000000C0A91D410000000080A8F84000000000209A1D4100000000006AF84000000000209A1D41,37,331617.555372745,199264.721258088,71.0,1.67021761271197,3701.75838940297,954.422188378594,2568.1310361818,325265.0,165.0,13.1305302877329
7399,100.0,489.0,010300002040710000010000000500000000000000006AF84000000000A0D81D4100000000006AF8400000000040E81D410000000080A8F8400000000040E81D410000000080A8F84000000000A0D81D4100000000006AF84000000000A0D81D41,111,951549.039332107,17058.8377550024,230.0,1.80361918413507,1521.91523584277,570.195911816632,951.719324026135,277750.0,10.0,13.0395593908281
7567,101.0,485.0,01030000204071000001000000050000000000000080A8F84000000000209A1D410000000080A8F84000000000C0A91D410000000000E7F84000000000C0A91D410000000000E7F84000000000209A1D410000000080A8F84000000000209A1D41,123,61588.814951592,392377.269790228,124.0,1.68855675107167,7728.23107441434,158.966758898495,6352.8643490998,329835.0,1825.0,13.1387873169096
7569,101.0,487.0,01030000204071000001000000050000000000000080A8F8400000000060B91D410000000080A8F8400000000000C91D410000000000E7F8400000000000C91D410000000000E7F8400000000060B91D410000000080A8F8400000000060B91D41,72,240872.065472603,437121.89832279,148.0,1.74222520481569,11089.574227426,302.477639801386,10787.0965876246,301560.0,1630.0,13.0950923851429
7571,101.0,489.0,01030000204071000001000000050000000000000080A8F84000000000A0D81D410000000080A8F8400000000040E81D410000000000E7F8400000000040E81D410000000000E7F84000000000A0D81D410000000080A8F84000000000A0D81D41,74,560120.281394668,203927.822231105,195.0,1.81932184347132,6941.12952859219,1494.7968287334,5446.33269985878,277995.0,490.0,13.046529682878
7749,102.0,489.0,01030000204071000001000000050000000000000000E7F84000000000A0D81D410000000000E7F8400000000040E81D41000000008025F9400000000040E81D41000000008025F94000000000A0D81D410000000000E7F84000000000A0D81D41,61,1239.36783446073,747022.571367692,239.0,1.79567556021457,16606.962455217,2307.05691733912,14299.9055378779,278510.0,4650.0,13.0546858709161
7750,102.0,490.0,01030000204071000001000000050000000000000000E7F8400000000040E81D410000000000E7F84000000000E0F71D41000000008025F94000000000E0F71D41000000008025F9400000000040E81D410000000000E7F8400000000040E81D41,62,136579.061784438,477179.510967381,91.0,1.79219629105119,9944.69449062017,146.92028370366,9797.77420691651,287730.0,2145.0,13.0260460365214
7934,103.0,491.0,0103000020407100000100000005000000000000008025F94000000000E0F71D41000000008025F9400000000080071E41000000000064F9400000000080071E41000000000064F94000000000E0F71D41000000008025F94000000000E0F71D41,65,23766.1969851218,525894.219293292,109.0,1.7598506424432,12995.3638413548,1869.16302331137,11126.2008180435,293645.0,3115.0,13.0034822300076
8138,104.0,508.0,0103000020407100000100000005000000000000000064F9400000000080011F41000000000064F9400000000020111F410000000080A2F9400000000020111F410000000080A2F9400000000080011F41000000000064F9400000000080011F41,136,642079.484604845,189550.119891295,489.0,1.68700963629214,7444.87266613531,1008.45769836517,6436.41496777014,147855.0,440.0,12.7444126279973
8144,104.0,514.0,0103000020407100000100000005000000000000000064F94000000000405F1F41000000000064F94000000000E06E1F410000000080A2F94000000000E06E1F410000000080A2F94000000000405F1F41000000000064F94000000000405F1F41,77,326852.606506399,64420.808018963,127.0,1.70749942579651,6548.04057766653,199.236768060132,6348.8038096064,118105.0,290.0,12.7389483312093
8149,104.0,519.0,0103000020407100000100000005000000000000000064F9400000000060AD1F41000000000064F9400000000000BD1F410000000080A2F9400000000000BD1F410000000080A2F9400000000060AD1F41000000000064F9400000000060AD1F41,71,906048.584623284,68424.1262648413,136.0,1.75309159949381,4159.58547617297,774.393890833338,3385.19158533963,97945.0,65.0,12.706600518928
8330,105.0,508.0,01030000204071000001000000050000000000000080A2F9400000000080011F410000000080A2F9400000000020111F410000000000E1F9400000000020111F410000000000E1F9400000000080011F410000000080A2F9400000000080011F41,128,42112.6833344643,296633.869509124,288.0,1.68536823494,10746.5978091228,1219.25277056775,9527.34503855501,163830.0,1530.0,12.7473128614175
8331,105.0,509.0,01030000204071000001000000050000000000000080A2F9400000000020111F410000000080A2F94000000000C0201F410000000000E1F94000000000C0201F410000000000E1F9400000000020111F410000000080A2F9400000000020111F41,110,377252.518181814,70309.819720764,171.0,1.67695466037943,3480.7377143371,663.443475689271,2817.29423864783,156320.0,100.0,12.7455502991354
8333,105.0,511.0,01030000204071000001000000050000000000000080A2F9400000000060301F410000000080A2F9400000000000401F410000000000E1F9400000000000401F410000000000E1F9400000000060301F410000000080A2F9400000000060301F41,46,135837.037028232,73137.1451812608,86.0,1.67553411117492,4948.04732921255,1092.63257097363,3855.41475823893,142600.0,425.0,12.7432939673656
8334,105.0,512.0,01030000204071000001000000050000000000000080A2F9400000000000401F410000000080A2F94000000000A04F1F410000000000E1F94000000000A04F1F410000000000E1F9400000000000401F410000000080A2F9400000000000401F41,98,128720.693646533,351702.27328278,125.0,1.68709051442327,11299.4377800674,1563.06192497356,9736.37585509385,148540.0,2045.0,12.7422463919412
8335,105.0,513.0,01030000204071000001000000050000000000000080A2F94000000000A04F1F410000000080A2F94000000000405F1F410000000000E1F94000000000405F1F410000000000E1F94000000000A04F1F410000000080A2F94000000000A04F1F41,90,59606.7447554966,33212.1186197603,84.0,1.69415192553022,2477.20277421434,1025.43204104832,1451.77073316602,158285.0,125.0,12.7409158786399
8337,105.0,515.0,01030000204071000001000000050000000000000080A2F94000000000E06E1F410000000080A2F94000000000807E1F410000000000E1F94000000000807E1F410000000000E1F94000000000E06E1F410000000080A2F94000000000E06E1F41,80,19098.0463536478,262271.324554868,126.0,1.71866465161313,9692.0990032664,1354.24541617879,8337.8535870876,140950.0,2060.0,12.7365846428094
8352,105.0,530.0,01030000204071000001000000050000000000000080A2F94000000000A02C20410000000080A2F94000000000703420410000000000E1F94000000000703420410000000000E1F94000000000A02C20410000000080A2F94000000000A02C2041,194,350074.247364044,111729.125358436,521.0,1.39264939997078,5339.28816532183,210.672980908121,3307.58010200079,22325.0,205.0,12.5683983008465
8537,106.0,519.0,01030000204071000001000000050000000000000000E1F9400000000060AD1F410000000000E1F9400000000000BD1F4100000000801FFA400000000000BD1F4100000000801FFA400000000060AD1F410000000000E1F9400000000060AD1F41,87,180871.117709156,11914.5249272451,88.0,1.77853861896743,2026.90675479737,905.441240277648,1121.46551451972,150600.0,70.0,12.7043087083167
8538,106.0,520.0,01030000204071000001000000050000000000000000E1F9400000000000BD1F410000000000E1F94000000000A0CC1F4100000000801FFA4000000000A0CC1F4100000000801FFA400000000000BD1F410000000000E1F9400000000000BD1F41,86,824634.608596559,27200.0767364544,143.0,1.79303596718288,3616.02242129359,490.842983122697,3125.17943817089,141665.0,85.0,12.6964486702371
8549,106.0,531.0,01030000204071000001000000050000000000000000E1F94000000000703420410000000000E1F94000000000403C204100000000801FFA4000000000403C204100000000801FFA4000000000703420410000000000E1F9400000000070342041,155,85025.3661105378,197148.786390812,270.0,1.40601620514419,7225.35610393475,1130.63633704925,5926.22856761132,27150.0,620.0,12.5466711521329
8550,106.0,532.0,01030000204071000001000000050000000000000000E1F94000000000403C20410000000000E1F940000000001044204100000000801FFA40000000001044204100000000801FFA4000000000403C20410000000000E1F94000000000403C2041,187,792676.519503772,53071.9731911902,222.0,1.42187443264446,2238.24667691254,596.813334404733,1641.43334250781,26550.0,40.0,12.52840925298
8743,107.0,529.0,010300002040710000010000000500000000000000801FFA4000000000D024204100000000801FFA4000000000A02C204100000000005EFA4000000000A02C204100000000005EFA4000000000D024204100000000801FFA4000000000D0242041,81,116389.728233764,26419.1164432869,266.0,1.45994857597829,4127.3886090716,314.859940413303,105.425323518672,32235.0,135.0,12.5783456056044
8746,107.0,532.0,010300002040710000010000000500000000000000801FFA4000000000403C204100000000801FFA40000000001044204100000000005EFA40000000001044204100000000005EFA4000000000403C204100000000801FFA4000000000403C2041,95,18956.5136213304,27642.7169020191,237.0,1.43082930773332,1043.24962093711,526.327197029467,415.921968086222,32440.0,0.0,12.5241396473978
8747,107.0,533.0,010300002040710000010000000500000000000000801FFA40000000001044204100000000801FFA4000000000E04B204100000000005EFA4000000000E04B204100000000005EFA40000000001044204100000000801FFA400000000010442041,103,55981.6644237966,406933.669521683,151.0,1.44297138297961,1687.35953310103,1131.04701145415,556.31252164688,29885.0,15.0,12.5050786540725
8748,107.0,534.0,010300002040710000010000000500000000000000801FFA4000000000E04B204100000000801FFA4000000000B053204100000000005EFA4000000000B053204100000000005EFA4000000000E04B204100000000801FFA4000000000E04B2041,95,890472.173814663,28853.291577756,123.0,1.4595029652942,2797.64024871173,646.036926059362,1802.54983467932,24505.0,5.0,12.4857616460887
8948,108.0,538.0,010300002040710000010000000500000000000000005EFA4000000000206B204100000000005EFA4000000000F072204100000000809CFA4000000000F072204100000000809CFA4000000000206B204100000000005EFA4000000000206B2041,180,473139.836405993,193005.800510538,452.0,1.54521691318581,7562.19786094049,933.54819088863,6345.27125389337,43975.0,755.0,12.3993790044105
8949,108.0,539.0,010300002040710000010000000500000000000000005EFA4000000000F072204100000000005EFA4000000000C07A204100000000809CFA4000000000C07A204100000000809CFA4000000000F072204100000000005EFA4000000000F0722041,138,253232.227444895,287380.595997036,828.0,1.56982788453856,10193.0268653865,577.004612701523,9526.50848455714,41935.0,980.0,12.3812905882192
9143,109.0,538.0,010300002040710000010000000500000000000000809CFA4000000000206B204100000000809CFA4000000000F07220410000000000DBFA4000000000F07220410000000000DBFA4000000000206B204100000000809CFA4000000000206B2041,124,3080.08932372118,18930.6686394521,161.0,1.54022825054454,2634.51552018414,74.7185962028473,342.747833511174,51160.0,90.0,12.3944461108365
9146,109.0,541.0,010300002040710000010000000500000000000000809CFA40000000009082204100000000809CFA4000000000608A20410000000000DBFA4000000000608A20410000000000DBFA40000000009082204100000000809CFA400000000090822041,144,67639.1157798973,27719.0353878291,377.0,1.58071678321171,9010.04655914086,1496.64021382022,6396.50465666072,34925.0,125.0,12.3419049864645
9147,109.0,542.0,010300002040710000010000000500000000000000809CFA4000000000608A204100000000809CFA4000000000309220410000000000DBFA4000000000309220410000000000DBFA4000000000608A204100000000809CFA4000000000608A2041,153,583439.750486214,20339.8559632336,259.0,1.57010574094457,1702.94490310827,1008.45689341577,694.488009692498,34700.0,30.0,12.3200787413268
9251,110.0,452.0,01030000204071000001000000050000000000000000DBFA400000000080961B410000000000DBFA400000000020A61B41000000008019FB400000000020A61B41000000008019FB400000000080961B410000000000DBFA400000000080961B41,141,176772.889913615,6056.11706303951,427.0,1.76719977296066,3141.97918984407,323.281091661758,1736.34879663846,180585.0,5.0,13.503996266065
9495,111.0,501.0,0103000020407100000100000005000000000000008019FB400000000020941E41000000008019FB4000000000C0A31E41000000000058FB4000000000C0A31E41000000000058FB400000000020941E41000000008019FB400000000020941E41,62,22252.9396570842,352123.405297926,106.0,1.61740867283134,12086.6069543005,2563.88878445984,9268.65877202285,307625.0,2230.0,12.8564576490149
9687,112.0,497.0,0103000020407100000100000005000000000000000058FB4000000000A0551E41000000000058FB400000000040651E41000000008096FB400000000040651E41000000008096FB4000000000A0551E41000000000058FB4000000000A0551E41,77,182766.810628741,105215.31090686,73.0,1.66839879257244,6303.68039765536,1608.24513082842,3558.12560789506,279370.0,745.0,12.9505365286743
